Having run the script on the test database, let's see how it does with PRV's observations....

mysql> SELECT name, band, JD, unique_id, timeseries FROM temp_observations WHERE obscode="PRV" ORDER BY name, band, JD;
+-----------------------+------+---------------+------------+------------+
| name                  | band | JD            | unique_id  | timeseries |
| AI PER                | 2    | 2456979.78116 | 1265669071 |       NULL |
| AI PER                | 2    | 2456982.76338 | 1265693397 |       NULL |
| AI PER                | 2    | 2456984.75749 | 1265693395 |       NULL |
| AI PER                | 2    | 2456985.75969 | 1265693391 |       NULL |
| AI PER                | 2    | 2456986.76000 | 1265693387 |       NULL |
| AI PER                | 2    | 2456989.75987 | 1267046245 |       NULL |
| AI PER                | 2    | 2456991.75747 | 1267046246 |       NULL |
| AI PER                | 2    | 2457003.72936 | 1267346160 |       NULL |
| AI PER                | 2    | 2457006.78166 | 1267340516 |       NULL |
| AI PER                | 2    | 2457007.79931 | 1267340512 |       NULL |
| AI PER                | 2    | 2457009.82852 | 1267340506 |       NULL |
| AI PER                | 2    | 2457011.83012 | 1267340501 |       NULL |
| AI PER                | 2    | 2457012.66733 | 1267340494 |       NULL |
| AI PER                | 2    | 2457016.82052 | 1267340488 |       NULL |
| AI PER                | 2    | 2457017.72427 | 1267358827 |       NULL |
| AI PER                | 2    | 2457019.81443 | 1267358825 |       NULL |
| AI PER                | 2    | 2457021.67481 | 1267358820 |       NULL |
| AI PER                | 2    | 2457087.59065 | 1267374966 |       NULL |
| AI PER                | 2    | 2457088.58737 | 1267400329 |       NULL |
| AI PER                | 2    | 2457107.60837 | 1267465979 |       NULL |
| AI PER                | 2    | 2457109.60888 | 1267465973 |       NULL |
| AI PER                | 2    | 2457229.95586 | 1268178112 |       NULL |
| AI PER                | 2    | 2457230.95292 | 1268237388 |       NULL |
| AI PER                | 2    | 2457239.90211 | 1268282961 |       NULL |
| AI PER                | 2    | 2457240.90208 | 1268282966 |       NULL |
| AI PER                | 2    | 2457241.90501 | 1268287907 |       NULL |
| AN CYG                | 2    | 2456802.86186 | 1264656004 |       NULL |
| AN CYG                | 2    | 2456806.91610 | 1264665927 |       NULL |
| AN CYG                | 2    | 2456813.89991 | 1264697781 |       NULL |
| AN CYG                | 2    | 2456862.91769 | 1264951217 |       NULL |
| AN CYG                | 2    | 2456887.78234 | 1265042274 |       NULL |
| AN CYG                | 2    | 2456894.79446 | 1265095566 |       NULL |
| AN CYG                | 2    | 2456932.78003 | 1265439503 |       NULL |
| AN CYG                | 2    | 2456946.80153 | 1265487026 |       NULL |
| ASAS J201106+2038.6   | 2    | 2456793.79858 | 1264623697 |       NULL |
| ASAS J201232+2036.8   | 2    | 2456793.79858 | 1264623695 |       NULL |
| AV CYG                | 2    | 2456806.89316 | 1264665932 |       NULL |
| AV CYG                | 2    | 2456813.89480 | 1264697776 |       NULL |
| AV CYG                | 2    | 2456823.86981 | 1264729386 |       NULL |
| AV CYG                | 2    | 2456830.87984 | 1264765710 |       NULL |
| AV CYG                | 2    | 2456835.87322 | 1264812985 |       NULL |
| AV CYG                | 2    | 2456890.73462 | 1265055375 |       NULL |
| AV CYG                | 2    | 2456894.69339 | 1265095548 |       NULL |
| AV CYG                | 2    | 2456901.68387 | 1265129273 |       NULL |
| AV CYG                | 2    | 2456944.58626 | 1265487036 |       NULL |
| AV CYG                | 2    | 2456954.58559 | 1265571215 |       NULL |
| AY OPH                | 2    | 2456804.91487 | 1264657849 |       NULL |
| AY OPH                | 2    | 2456806.88718 | 1264665913 |       NULL |
| AY OPH                | 2    | 2456813.87831 | 1264697764 |       NULL |
| AY OPH                | 2    | 2456820.06837 | 1264718059 |       NULL |
| AY OPH                | 2    | 2456824.85888 | 1264729394 |       NULL |
| AY OPH                | 2    | 2456835.91310 | 1264812990 |       NULL |
| AY OPH                | 2    | 2456848.81605 | 1264844394 |       NULL |
| AY OPH                | 2    | 2456862.89021 | 1264951229 |       NULL |
| AY OPH                | 2    | 2456887.75591 | 1265042262 |       NULL |
| AY OPH                | 2    | 2456894.76154 | 1265095555 |       NULL |
| AY PSC                | 2    | 2456834.32660 | 1264776098 |       NULL |
| AY PSC                | 2    | 2456840.32381 | 1264812978 |       NULL |
| AY PSC                | 2    | 2456847.32200 | 1264836750 |       NULL |
| AY PSC                | 2    | 2456849.32574 | 1264849010 |       NULL |
| AY PSC                | 2    | 2456852.32340 | 1264860975 |       NULL |
| AY PSC                | 2    | 2456872.31076 | 1264968402 |       NULL |
| AY PSC                | 2    | 2456875.30485 | 1264986758 |       NULL |
| AY PSC                | 2    | 2456876.30853 | 1264986759 |       NULL |
| AY PSC                | 2    | 2456877.24024 | 1264996845 |       NULL |
| AY PSC                | 2    | 2456878.27977 | 1264996844 |       NULL |
| AY PSC                | 2    | 2456879.29828 | 1264998833 |       NULL |
| AY PSC                | 2    | 2456880.30337 | 1265001419 |       NULL |
| AY PSC                | 2    | 2456881.30065 | 1265009246 |       NULL |
| AY PSC                | 2    | 2456915.21528 | 1265201712 |       NULL |
| AY PSC                | 2    | 2456927.21270 | 1265369071 |       NULL |
| AY PSC                | 2    | 2456929.20148 | 1265439514 |       NULL |
| AY PSC                | 2    | 2456931.21282 | 1265439522 |       NULL |
| AY PSC                | 2    | 2456933.21272 | 1265439493 |       NULL |
| AY PSC                | 2    | 2456941.17457 | 1265459026 |       NULL |
| AY PSC                | 2    | 2456943.17139 | 1265459018 |       NULL |
| AY PSC                | 2    | 2456947.17161 | 1265487021 |       NULL |
| AY PSC                | 2    | 2456949.17053 | 1265487016 |       NULL |
| AY PSC                | 2    | 2456953.19059 | 1265507177 |       NULL |
| AY PSC                | 2    | 2456955.18142 | 1265571208 |       NULL |
| AY PSC                | 2    | 2456961.19138 | 1265578483 |       NULL |
| AY PSC                | 2    | 2456963.19156 | 1265587987 |       NULL |
| AY PSC                | 2    | 2456968.00510 | 1265592024 |       NULL |
| AY PSC                | 2    | 2456969.00554 | 1265617897 |       NULL |
| AY PSC                | 2    | 2456970.00520 | 1265617889 |       NULL |
| AY PSC                | 2    | 2456972.00473 | 1265617881 |       NULL |
| AY PSC                | 2    | 2456973.00666 | 1265633703 |       NULL |
| AY PSC                | 2    | 2456975.00560 | 1265638057 |       NULL |
| AY PSC                | 2    | 2456976.00809 | 1265659418 |       NULL |
| AY PSC                | 2    | 2456979.00873 | 1265659411 |       NULL |
| AY PSC                | 2    | 2456980.00497 | 1265669069 |       NULL |
| AY PSC                | 2    | 2456981.00490 | 1265669065 |       NULL |
| AY PSC                | 2    | 2456982.00571 | 1265669061 |       NULL |
| AY PSC                | 2    | 2456983.00492 | 1265693406 |       NULL |
| AY PSC                | 2    | 2456984.01003 | 1265693402 |       NULL |
| AY PSC                | 2    | 2456988.00552 | 1267046257 |       NULL |
| AY PSC                | 2    | 2456989.00499 | 1267046253 |       NULL |
| AY PSC                | 2    | 2456998.98394 | 1267346169 |       NULL |
| AY PSC                | 2    | 2457001.00498 | 1267346165 |       NULL |
| AY PSC                | 2    | 2457004.00439 | 1267346158 |       NULL |
| AY PSC                | 2    | 2457005.00472 | 1267340539 |       NULL |
| AY PSC                | 2    | 2457006.00469 | 1267340534 |       NULL |
| AY PSC                | 2    | 2457007.00565 | 1267340514 |       NULL |
| AY PSC                | 2    | 2457008.00492 | 1267340509 |       NULL |
| AY PSC                | 2    | 2457010.00450 | 1267340504 |       NULL |
| AY PSC                | 2    | 2457012.00475 | 1267340498 |       NULL |
| AY PSC                | 2    | 2457016.00563 | 1267340490 |       NULL |
| AY PSC                | 2    | 2457026.00440 | 1267358813 |       NULL |
| AY PSC                | 2    | 2457224.29841 | 1268120087 |       NULL |
| AY PSC                | 2    | 2457230.30537 | 1268178110 |       NULL |
| AY PSC                | 2    | 2457233.29174 | 1268237382 |       NULL |
| AY PSC                | 2    | 2457234.29126 | 1268237378 |       NULL |
| AY PSC                | 2    | 2457235.29328 | 1268237376 |       NULL |
| AY PSC                | 2    | 2457243.28250 | 1268294990 |       NULL |
| AY PSC                | 2    | 2457244.29027 | 1268307492 |       NULL |
| AY PSC                | 2    | 2457598.29499 | 1271014198 |       NULL |
| AY PSC                | 2    | 2457599.29491 | 1271014184 |       NULL |
| AY PSC                | 2    | 2457600.29116 | 1271014179 |       NULL |
| AY PSC                | 2    | 2457608.29824 | 1271169589 |       NULL |
| AY PSC                | 2    | 2457609.29979 | 1271204520 |       NULL |
| AY PSC                | 2    | 2457611.29969 | 1271204515 |       NULL |
| AY PSC                | 2    | 2457614.29943 | 1271204508 |       NULL |
| AY PSC                | 2    | 2457615.29990 | 1271204506 |       NULL |
| AY PSC                | 2    | 2457617.29640 | 1271205055 |       NULL |
| AY PSC                | 2    | 2457627.27429 | 1271335848 |       NULL |
| AY PSC                | 2    | 2457636.16944 | 1271339810 |       NULL |
| AY PSC                | 2    | 2457637.17029 | 1271339806 |       NULL |
| AY PSC                | 2    | 2457638.16963 | 1271339798 |       NULL |
| AY PSC                | 2    | 2457643.16964 | 1271405860 |       NULL |
| AY PSC                | 2    | 2457655.12804 | 1271516202 |       NULL |
| AY PSC                | 2    | 2457659.12806 | 1271541529 |       NULL |
